clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.024886	0.029061	0.031208	0.022191	0.027849	0.025832	0.024143	0.026368	0.025360	0.023680	0.028541	0.029568	0.027869	0.028860	0.029775	0.025518
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	0.028876	0.031723	0.034291	0.026314	0.034142	0.029848	0.028656	0.029081	0.028391	0.027963	0.033499	0.034536	0.032343	0.032957	0.034404	0.031052
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	0.031369	0.033438	0.035278	0.027828	0.034254	0.030925	0.028983	0.029832	0.028971	0.028948	0.038334	0.029820	0.033221	0.031884	0.035693	0.033028
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	0.028247	0.031228	0.031716	0.023707	0.030019	0.027681	0.024801	0.027528	0.026312	0.026351	0.033320	0.026890	0.029524	0.028087	0.032378	0.030717
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	0.073141	0.066419	0.070281	0.063430	0.074778	0.067555	0.063846	0.061747	0.059476	0.071756	0.081106	0.071025	0.076653	0.068141	0.077370	0.077834
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	0.032391	0.030217	0.030961	0.024760	0.034512	0.028158	0.026220	0.028517	0.026886	0.027967	0.041355	0.026991	0.033845	0.026922	0.034795	0.032481
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	0.024460	0.027231	0.027978	0.021538	0.025850	0.023622	0.023076	0.024508	0.023613	0.023402	0.031050	0.026643	0.026644	0.026720	0.028293	0.025400
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli	0.032843	0.031527	0.036406	0.028798	0.034237	0.032504	0.030570	0.029317	0.028211	0.031363	0.035548	0.030272	0.035328	0.031828	0.035711	0.032187
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.079302	0.089914	0.102466	0.082718	0.084766	0.088914	0.090435	0.084467	0.079895	0.079657	0.084461	0.088924	0.086500	0.098996	0.092716	0.088029
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.083265	0.090814	0.103353	0.084387	0.083665	0.089828	0.088333	0.083219	0.080825	0.084524	0.083109	0.089613	0.088925	0.096701	0.094717	0.084618
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.077152	0.086671	0.100504	0.083578	0.080512	0.089917	0.091375	0.080241	0.076385	0.079693	0.075726	0.081397	0.082880	0.094100	0.090893	0.084719
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0.027371	0.028323	0.030090	0.023245	0.028678	0.026079	0.025361	0.026262	0.025228	0.025710	0.031614	0.026204	0.029019	0.027000	0.030212	0.028630
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	0.030260	0.032431	0.032492	0.023987	0.030512	0.028067	0.027398	0.029776	0.028114	0.026488	0.036968	0.025367	0.031790	0.028210	0.031624	0.030453
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	0.034941	0.036534	0.040911	0.030526	0.035786	0.034261	0.031843	0.034018	0.032327	0.034157	0.037195	0.032967	0.038081	0.034660	0.039776	0.034456
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis	0.028004	0.036182	0.036571	0.026131	0.031949	0.029636	0.029241	0.032441	0.031218	0.026704	0.033297	0.033441	0.030924	0.034806	0.033353	0.030524
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0.031751	0.032673	0.039049	0.029936	0.034551	0.034027	0.033110	0.030478	0.029066	0.031406	0.034001	0.031339	0.035385	0.034046	0.036544	0.033068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.041349	0.043846	0.045696	0.037432	0.044985	0.041109	0.040207	0.041001	0.039397	0.037935	0.049900	0.037594	0.042762	0.041629	0.046218	0.046786
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.040509	0.041423	0.042483	0.035046	0.043211	0.038944	0.037584	0.037744	0.036424	0.038355	0.048323	0.039310	0.043462	0.038794	0.044782	0.042145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.026024	0.027146	0.028100	0.021330	0.027883	0.024650	0.023836	0.025021	0.023552	0.023824	0.031074	0.024068	0.028087	0.025076	0.028632	0.027415
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.037776	0.039660	0.042203	0.031797	0.041377	0.036891	0.035124	0.038031	0.035833	0.035128	0.044790	0.035936	0.041032	0.037716	0.041598	0.038411
