clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	8.9e-05	8.8e-05	9e-05	9e-05	9e-05	9.2e-05	9e-05	8.8e-05	8.9e-05	9.3e-05	8.8e-05	9e-05	8.9e-05	9e-05	9e-05	9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	9e-05	8.9e-05	8.9e-05	8.9e-05	9.2e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.000102	0.000102	0.000102	0.000102	0.000102	0.000103	0.000102	0.000102	0.000102	0.000105	0.000102	0.000102	0.000102	0.000102	0.000102	0.000102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.000102	0.000102	0.000102	0.000102	0.000102	0.000104	0.000102	0.000102	0.000102	0.000105	0.000102	0.000102	0.000102	0.000102	0.000102	0.000102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.000102	0.000102	0.000102	0.000102	0.000102	0.000104	0.000102	0.000102	0.000102	0.000105	0.000102	0.000102	0.000102	0.000102	0.000102	0.000102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	9.8e-05	9.8e-05	9.8e-05	9.8e-05	9.8e-05	9.9e-05	9.8e-05	9.8e-05	9.8e-05	0.0001	9.8e-05	9.8e-05	9.8e-05	9.8e-05	9.8e-05	9.8e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	8.7e-05	8.7e-05	8.9e-05	8.9e-05	8.7e-05	9e-05	8.9e-05	8.7e-05	8.7e-05	9.2e-05	8.7e-05	8.9e-05	8.7e-05	8.9e-05	8.7e-05	8.8e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.000168	0.000168	0.0002	0.0002	0.000168	0.000202	0.0002	0.000168	0.000168	0.000205	0.000168	0.0002	0.000168	0.0002	0.000169	0.000175
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.000167	0.000166	0.000201	0.000201	0.000171	0.000203	0.000201	0.000166	0.000166	0.000206	0.000166	0.000201	0.000167	0.000201	0.000171	0.00018
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	0.000173	0.000173	0.000194	0.000194	0.000174	0.000196	0.000194	0.000173	0.000173	0.000199	0.000173	0.000194	0.000173	0.000194	0.000175	0.000182
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	9e-05	9e-05	9.1e-05	9.1e-05	9e-05	9.2e-05	9.1e-05	9e-05	9e-05	9.3e-05	9e-05	9.1e-05	9e-05	9.1e-05	9e-05	9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.00016	0.00016	0.000195	0.000195	0.000165	0.000196	0.000195	0.00016	0.00016	0.000199	0.00016	0.000195	0.00016	0.000195	0.000166	0.000176
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.020792	0.020793	0.020799	0.020793	0.020792	0.020897	0.020793	0.020793	0.020793	0.021006	0.020792	0.020793	0.020792	0.020793	0.020792	0.020794
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0.020219	0.020219	0.020229	0.020223	0.02022	0.02033	0.020223	0.020219	0.020219	0.020434	0.020219	0.020223	0.020219	0.020223	0.02022	0.020221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	0.009178	0.009178	0.009182	0.009179	0.009179	0.009232	0.009179	0.009178	0.009178	0.009288	0.009178	0.009179	0.009178	0.009179	0.009179	0.00918
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens	0.007256	0.007256	0.007259	0.007257	0.007256	0.007301	0.007257	0.007256	0.007256	0.007354	0.007256	0.007257	0.007256	0.007257	0.007256	0.007257
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.013909	0.013793	0.021773	0.021768	0.014545	0.021578	0.021768	0.01379	0.013809	0.021963	0.013798	0.021768	0.013902	0.021768	0.014764	0.0166
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.011501	0.01133	0.018211	0.018208	0.012471	0.018085	0.018208	0.011326	0.011355	0.018357	0.011337	0.018208	0.01149	0.018208	0.012639	0.014313
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.000172	0.000172	0.000195	0.000195	0.000176	0.000197	0.000195	0.000172	0.000172	0.0002	0.000172	0.000195	0.000172	0.000195	0.000177	0.000184
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	0.000144	0.000143	0.000163	0.000162	0.000148	0.000164	0.000162	0.000143	0.000143	0.000167	0.000143	0.000162	0.000144	0.000162	0.000149	0.000157
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	0.000102	0.000102	0.000102	0.000102	0.000102	0.000104	0.000102	0.000102	0.000102	0.000105	0.000102	0.000102	0.000102	0.000102	0.000102	0.000102
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	0.000132	0.000132	0.000135	0.000135	0.000133	0.000137	0.000135	0.000132	0.000132	0.000139	0.000132	0.000135	0.000132	0.000135	0.000133	0.000133
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	0.008444	0.008444	0.008448	0.008446	0.008444	0.008497	0.008446	0.008444	0.008444	0.00854	0.008444	0.008446	0.008444	0.008446	0.008444	0.008445
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	0.000113	0.000113	0.000115	0.000115	0.000113	0.000117	0.000115	0.000113	0.000113	0.000118	0.000113	0.000115	0.000113	0.000115	0.000113	0.000113
