clade_name	DRR111028	DRR111037	DRR111061	DRR111030	DRR111013	DRR111004	DRR111036	DRR111060	DRR111042	DRR111024	DRR111006	DRR111012
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.033178	0.037529	0.031372	0.037455	0.031554	0.032241	0.035250	0.031458	0.032432	0.032042	0.030257	0.030076
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_Incertae_Sedis	0.012501	0.017886	0.011455	0.015461	0.012587	0.014445	0.013009	0.013874	0.013764	0.013481	0.012080	0.010495
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.020908	0.026090	0.018619	0.024999	0.020077	0.021838	0.021577	0.019210	0.022284	0.020130	0.018150	0.017721
k__Bacteria|p__Firmicutes|c__Incertae_Sedis|o__DTU014|f__DTU014	0.016792	0.023452	0.016045	0.019181	0.018011	0.019487	0.016634	0.019048	0.018117	0.019218	0.015662	0.015761
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Defluviitaleaceae	0.017691	0.023471	0.016672	0.022012	0.017996	0.019118	0.017995	0.020099	0.019631	0.018046	0.016955	0.016529
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae	0.021608	0.028275	0.020566	0.025109	0.021641	0.023281	0.021572	0.021587	0.022834	0.022288	0.020475	0.019236
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	0.022510	0.030795	0.022776	0.028572	0.024255	0.026406	0.024057	0.028520	0.024998	0.025091	0.024703	0.022638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.057867	0.064131	0.050643	0.063780	0.053022	0.063527	0.061550	0.043996	0.058873	0.059444	0.049242	0.041551
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.023230	0.032005	0.022756	0.028800	0.023296	0.027032	0.024041	0.025353	0.025588	0.023252	0.023771	0.020015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelatoclostridiaceae	0.013600	0.016766	0.012275	0.015346	0.013797	0.014652	0.013202	0.013654	0.014302	0.014685	0.011693	0.012054
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae	0.018934	0.024888	0.018544	0.021465	0.019603	0.020961	0.019396	0.020348	0.020485	0.021025	0.018773	0.018442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ethanoligenenaceae	0.011773	0.017118	0.011775	0.015245	0.012703	0.014223	0.011873	0.014364	0.014273	0.013486	0.012558	0.011566
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.024292	0.030785	0.022063	0.028126	0.023908	0.025991	0.023445	0.025218	0.026424	0.024292	0.022618	0.022001
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae	0.013825	0.019463	0.014023	0.017777	0.014177	0.015817	0.013513	0.018006	0.016132	0.016299	0.014956	0.014281
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.039919	0.047188	0.038906	0.048645	0.040966	0.044070	0.040304	0.047335	0.044729	0.053368	0.040858	0.041341
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Gastranaerophilales|f__Gastranaerophilales	0.017077	0.021771	0.016132	0.018849	0.017847	0.018693	0.015928	0.017645	0.018541	0.017553	0.015380	0.016197
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Gemellaceae	0.018899	0.022908	0.016792	0.021947	0.017915	0.020350	0.018989	0.016147	0.019895	0.018785	0.016282	0.014994
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	0.015904	0.021377	0.014125	0.017616	0.016360	0.017446	0.015112	0.015546	0.016793	0.015128	0.013876	0.013477
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia|f__Hungateiclostridiaceae	0.018369	0.026086	0.018162	0.020915	0.020010	0.022634	0.017530	0.021668	0.021001	0.020599	0.018761	0.017292
k__Bacteria|p__Firmicutes|c__Bacilli|o__Izemoplasmatales|f__Izemoplasmatales	0.012087	0.017761	0.011812	0.015458	0.012530	0.014003	0.012500	0.015496	0.013259	0.013434	0.012767	0.011398
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0.318093	0.394192	0.349775	0.382398	0.332841	0.351064	0.332442	0.366417	0.366855	0.320259	0.363957	0.340769
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.029746	0.034812	0.026737	0.037076	0.028321	0.031927	0.029041	0.027227	0.033416	0.031756	0.026160	0.025513
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.023639	0.034383	0.023143	0.028486	0.025761	0.027891	0.022651	0.026896	0.028309	0.024980	0.024425	0.023418
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0.025245	0.034408	0.024302	0.028206	0.027123	0.029443	0.024237	0.028288	0.027552	0.026037	0.024877	0.023041
