clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0.005554	0.006138	0.003519	0.009283	0.002907	0.009835	0.006972	0.004660	0.028796	0.010882	0.002970	0.005862	0.006972	0.002907	0.006779	0.008876	0.002392	0.007951	0.002750	0.007012	0.005528	0.003994	0.008275	0.004629	0.006138	0.005694	0.004065
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.002722	0.004562	0.001319	0.013936	0.001187	0.005851	0.003502	0.005666	0.008860	0.008429	0.001541	0.003345	0.003502	0.001187	0.002621	0.005023	0.002468	0.010918	0.001476	0.005136	0.002278	0.001747	0.008140	0.001705	0.004562	0.002100	0.001668
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter	0.028606	0.049961	0.024085	0.039318	0.026116	0.034168	0.114022	0.116382	0.048847	0.130599	0.039446	0.115339	0.114022	0.026116	0.051526	0.031922	0.060256	0.114235	0.022283	0.178135	0.025454	0.025204	0.107103	0.035218	0.049961	0.036733	0.017033
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0.004327	0.004917	0.001926	0.037905	0.001886	0.009110	0.003069	0.003795	0.011972	0.008448	0.002076	0.002560	0.003069	0.001886	0.002334	0.005850	0.002357	0.007791	0.002806	0.010593	0.003772	0.002874	0.005236	0.002157	0.004917	0.002754	0.002957
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes	0.045199	0.049663	0.005839	0.029266	0.048780	0.016731	0.038669	0.063359	0.071238	0.072288	0.035284	0.076470	0.038669	0.048780	0.057931	0.018864	0.033457	0.055186	0.022223	0.058346	0.016803	0.022834	0.061267	0.036011	0.049663	0.052314	0.016940
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.121520	0.260658	0.071006	0.068802	0.123931	0.064664	0.116224	0.267265	0.159941	0.250446	0.162182	0.119965	0.116224	0.123931	0.094937	0.240833	0.328910	0.242260	0.210196	0.063828	0.068582	0.200910	0.208076	0.125868	0.260658	0.079603	0.193980
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.316744	0.462315	0.142090	0.163138	0.532872	0.221142	0.242269	0.350977	0.373903	0.307195	0.393685	0.392626	0.242269	0.532872	0.412137	0.330360	0.271599	0.348507	0.315365	0.188126	0.412307	0.373040	0.399007	0.424338	0.462315	0.686986	0.388152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia	0.056479	0.124393	0.024056	0.043867	0.044466	0.063114	0.094024	0.179726	0.242117	0.234567	0.036371	0.210454	0.094024	0.044466	0.123173	0.036764	0.048072	0.209423	0.030175	0.170162	0.025056	0.033389	0.170157	0.042607	0.124393	0.108458	0.036497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae|g__Butyricicoccus	0.004025	0.004860	0.001194	0.008194	0.001959	0.005093	0.005517	0.006242	0.014739	0.010677	0.002620	0.005678	0.005517	0.001959	0.004696	0.004912	0.003256	0.010403	0.001644	0.005606	0.002582	0.002166	0.008705	0.003622	0.004860	0.002882	0.001816
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_sensu_stricto_1	0.008386	0.007466	0.005924	0.046570	0.002639	0.030284	0.004337	0.005444	0.012178	0.008274	0.003479	0.003392	0.004337	0.002639	0.003757	0.013592	0.004206	0.008604	0.004225	0.013544	0.006337	0.004921	0.006348	0.003664	0.007466	0.003591	0.005628
