clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__[Eubacterium]_coprostanoligenes_group	0.001804	0.001911	0.000321	3e-06	0.001981	0.000184	0.001928	0.001849	0.002006	0.001761	0.001981	0.002005	0.001903	0.001966	0.001992	0.001205	0.001635	0.00197	0.001566	0.001742	0.001915	0.001838	0.00194	0.001965	0.001915	0.001946	0.001085
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0.001843	0.00198	0.000508	2.3e-05	0.002143	0.000349	0.001978	0.001911	0.002058	0.001798	0.002123	0.002154	0.00197	0.002146	0.002135	0.001215	0.001703	0.002012	0.001711	0.001806	0.002012	0.001889	0.002036	0.002125	0.001999	0.002132	0.001149
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.002461	0.001773	0.008251	0.008722	0.001071	0.007898	0.001821	0.002166	0.001791	0.002715	0.001266	0.001145	0.001812	0.000995	0.001123	0.005803	0.003591	0.001859	0.003132	0.002653	0.001593	0.001959	0.001603	0.001153	0.001822	0.000911	0.005721
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter	0.044947	0.048664	0.007656	0.000176	0.053779	0.004939	0.049004	0.047348	0.051862	0.044706	0.052886	0.053536	0.049421	0.053762	0.0539	0.027385	0.040423	0.050009	0.039915	0.043551	0.04974	0.046142	0.050113	0.052621	0.049122	0.053401	0.025053
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0.000712	0.000549	0.004169	0.013168	0.000362	0.005023	0.000566	0.000647	0.00058	0.000801	0.000425	0.000395	0.000563	0.000347	0.000389	0.001846	0.001065	0.000596	0.000877	0.000819	0.000508	0.000595	0.000506	0.000392	0.000577	0.000322	0.001886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes	0.017233	0.017246	0.010243	0.000432	0.017024	0.007031	0.017448	0.01742	0.017979	0.017121	0.017389	0.017229	0.017484	0.016948	0.017184	0.016988	0.017372	0.018032	0.016468	0.016815	0.017071	0.016947	0.017233	0.016959	0.017432	0.016599	0.015596
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.131761	0.098821	0.350716	0.065777	0.063066	0.311789	0.096567	0.114237	0.093177	0.140628	0.072803	0.066822	0.09919	0.059904	0.064836	0.270251	0.179274	0.096027	0.172984	0.146043	0.090672	0.111362	0.091733	0.0681	0.099323	0.056595	0.294617
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.246368	0.304307	0.032929	0.001734	0.401979	0.022047	0.299597	0.268103	0.301368	0.224467	0.365667	0.386408	0.298807	0.414028	0.390108	0.10669	0.181989	0.293181	0.202633	0.225514	0.325076	0.285426	0.320991	0.386269	0.297003	0.432509	0.101487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia	0.073135	0.070754	0.062887	0.014848	0.067133	0.053518	0.071033	0.072144	0.0712	0.075108	0.068407	0.067345	0.071377	0.066161	0.067508	0.07876	0.074377	0.070868	0.074967	0.071978	0.069724	0.07212	0.070196	0.067379	0.07064	0.065838	0.078543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae|g__Butyricicoccus	0.00294	0.002679	0.002038	6.6e-05	0.002157	0.001445	0.002677	0.002814	0.00271	0.002993	0.002319	0.002215	0.002686	0.002066	0.002177	0.003394	0.00317	0.002684	0.003061	0.00297	0.002556	0.002743	0.002594	0.002209	0.002672	0.00197	0.003385
